text,sentiment
Oh so I was not lying about @MYANC and @CyrilRamaphosa @PresidencyZA allegedly being involved in the assassination of Ms. Babita Deokaran. Yet they are silent at attacks on immigrants trying to receive healthcare ENSHRINED in the CONSTITUTION.,-1
Why healthcare is the new flashpoint for anti-immigrant vigilantes in South Africa  https://t.co/ZFqAWmF5MB,0
"Taking an unpopular position on immigrants in South Africa who balme foreigners for problems like joblessness, crime, drugs and prostitution, Fritz said: Migrants are not the cause of our unemployment, poverty, crime or healthcare crisis.",1
@Lemmy_OP @cringepolitik Have fun in ur multicultural paradise  South Africa Immigrant🇿🇦 Free Healthcare is kinda poggers tbh😎 I have a burning hatred towards fascism 😡 I hate debate lords🤓 he/him,-1
 🇿🇦 @africasacountry  Operation Dudula: how healthcare has become part of anti-immigrant agitation in #SouthAfrica  https://t.co/RO8p5a4R98,0
"@Wendy94669657 @The_Reality_1 We were told in school before that date that South Africa has infrastructure for 40 to 50 Mil people only (including water, electricity, roads, healthcare etc.) and with illegal immigrants the population must be over 100 Mill",-1
Migrants access to healthcare in South Africa  https://t.co/NURYylS32F South Africa is home to about 2 million immigrants and many of them struggle to access public services including healthcare.,1
Are you proactive or reactive?  Share with us in the comment section⬇️   #joinfleri #immigrants #africanimmigrants #livingindiaspora #nigeria #ghana #southafrica #zimbabwe #healthcare #healthinsurance  https://t.co/1bhKGzviO6,0
Immigrants account for about 6.5% of the population. It is thus statistically impossible for immigrants to be responsible for the healthcare system's failings. Continued claims of 'hordes' of immigrants flooding South Africa's public healthcare... promote 'medical xenophobia'.,1
"By using healthcare to attack immigrants, xenophobic political movements in South Africa echo long-standing right-wing obsessions.  https://t.co/p8Mfaph15T",1
#Healthcare This after health minister Dr Joe Phaahla said the department is considering charging neighbouring countries for #immigrants who access health services in South Africa. DR,-1
#Healthcare A legal expert based in Polokwane  Adv John Mohoto says the health department’s intention to consult governments of neighbouring countries to contribute to medical bills of #immigrants in South Africa  is only fair  otherwise the country will go into bankruptcy. DR   https://t.co/f78FWsso9A,1
"S Africa which has prospered because of Colonialism, has great healthcare system etc. demanding papers from immigrants.  Why healthcare is the new flashpoint for anti-immigrant vigilantes in South Africa following Dr Phophi Ramathuba's comments  https://t.co/arf0nzmuV5",1
